month,year,flow
1,71,26635.42045
2,71,21825.23143
3,71,36031.56798
4,71,43874.54155
5,71,90616.4437
6,71,146125.611
7,71,59008.79683
8,71,30160.40402
9,71,33851.37729
10,71,28427.29497
11,71,28829.59138
12,71,24515.85
1,72,24486.5704
2,72,22332.1245
3,72,26365.16899
4,72,31048.56175
5,72,75809.64203
6,72,117834.2936
7,72,32885.46795
8,72,24495.45365
9,72,25687.91843
10,72,30280.6336
11,72,25972.64832
12,72,25582.28271
1,73,26923.62764
2,73,21476.64465
3,73,33051.2774
4,73,28849.61495
5,73,131986.8605
6,73,144779.8996
7,73,64556.87081
8,73,35228.3335
9,73,29322.18526
10,73,29925.36215
11,73,27157.67205
12,73,25125.09138
1,74,24667.11687
2,74,18784.38791
3,74,42486.52461
4,74,44534.71497
5,74,131323.8754
6,74,108120.5484
7,74,45876.87822
8,74,30811.52042
9,74,22254.81386
10,74,27604.64995
11,74,25446.88232
12,74,18841.10644
1,75,20981.35492
2,75,21266.87646
3,75,32350.50063
4,75,29652.9887
5,75,78931.99588
6,75,165700.1432
7,75,101015.7216
8,75,36760.25342
9,75,28769.47152
10,75,28367.95136
11,75,25163.62702
12,75,18376.9888
1,76,16559.84796
2,76,25887.5957
3,76,33786.94355
4,76,31625.81181
5,76,90622.65661
6,76,79790.94159
7,76,31207.937
8,76,28134.30954
9,76,20651.12395
10,76,24189.79145
11,76,20601.07096
12,76,18103.84667
1,77,19848.0615
2,77,19576.18658
3,77,24522.23574
4,77,25120.14739
5,77,26833.85597
6,77,23418.08739
7,77,16913.11239
8,77,19758.45073
9,77,15870.77281
10,77,17063.96185
11,77,18642.40493
12,77,17175.46693
1,78,18570.36764
2,78,17156.88309
3,78,28283.57202
4,78,36724.3641
5,78,97355.58155
6,78,184871.7014
7,78,77268.18487
8,78,32825.31878
9,78,27849.15227
10,78,24144.6355
11,78,23949.1711
12,78,23263.78259
1,79,19071.56622
2,79,15962.99402
3,79,31580.32394
4,79,44630.10667
5,79,120619.2601
6,79,159867.8387
7,79,70902.87668
8,79,37874.53001
9,79,23102.32046
10,79,25160.32446
11,79,25459.94856
12,79,22014.93335
1,80,21474.44586
2,80,34671.54419
3,80,31372.60672
4,80,37480.08322
5,80,117999.3565
6,80,139758.7439
7,80,50905.0394
8,80,30642.0436
9,80,26703.65272
10,80,25359.24721
11,80,24133.96037
12,80,24049.07307
1,81,23693.39868
2,81,21617.36228
3,81,22528.26462
4,81,38943.62973
5,81,53352.34145
6,81,72166.43624
7,81,37695.29925
8,81,25713.69329
9,81,27751.00183
10,81,34337.00503
11,81,24298.36029
12,81,22414.21929
1,82,21740.3064
2,82,32459.23117
3,82,33423.5633
4,82,34195.16749
5,82,104177.3848
6,82,140939.5335
7,82,86307.26329
8,82,46768.68209
9,82,38957.99633
10,82,36032.64931
11,82,32066.20039
12,82,22587.16318
1,83,24112.2343
2,83,25032.16309
3,83,45086.61547
4,83,36884.62449
5,83,126434.5397
6,83,264976.4602
7,83,143915.4083
8,83,69995.76321
9,83,41007.00375
10,83,42802.64624
11,83,34501.04223
12,83,29616.06256
1,84,22358.06938
2,84,25372.98662
3,84,47373.43384
4,84,62300.98018
5,84,224497.9984
6,84,272096.2315
7,84,135543.9796
8,84,82428.50268
9,84,54657.68701
10,84,51170.79031
11,84,34737.83373
12,84,38354.90215
1,85,33945.30978
2,85,28119.23187
3,85,39670.73675
4,85,87479.0585
5,85,211659.0854
6,85,177854.2793
7,85,84751.4909
8,85,56678.32901
9,85,38103.65477
10,85,47403.25238
11,85,40327.04499
12,85,22732.12803
1,86,35234.30886
2,86,78794.74919
3,86,44722.74397
4,86,81526.31006
5,86,155604.2063
6,86,191462.4285
7,86,100221.6465
8,86,53033.30115
9,86,39743.00296
10,86,47562.80586
11,86,39321.79088
12,86,32887.53387
1,87,28030.73146
2,87,36152.41399
3,87,46164.50766
4,87,65405.55927
5,87,126116.7016
6,87,75037.50952
7,87,40699.71414
8,87,41475.87771
9,87,27688.11095
10,87,29629.53057
11,87,30025.24279
12,87,27642.52163
1,88,35063.01477
2,88,50008.74675
3,88,48712.43149
4,88,49849.13961
5,88,106238.4086
6,88,111070.2418
7,88,45835.68242
8,88,30597.32455
9,88,25336.53922
10,88,28246.08842
11,88,27843.84886
12,88,19774.88366
1,89,21351.31648
2,89,23904.45616
3,89,46455.29987
4,89,47341.05307
5,89,63749.00692
6,89,61167.78317
7,89,30993.02044
8,89,29361.24803
9,89,18858.06116
10,89,23209.45357
11,89,24064.68534
12,89,19157.95218
1,90,20264.81775
2,90,26228.95743
3,90,30762.83204
4,90,28838.6267
5,90,35514.1691
6,90,71031.55694
7,90,32541.47517
8,90,21040.08422
9,90,18331.164
10,90,25438.66659
11,90,22801.31183
12,90,17862.44048
1,91,18296.68331
2,91,20745.91574
3,91,27419.97157
4,91,27375.65208
5,91,86020.50939
6,91,106562.819
7,91,42237.5122
8,91,33777.80067
9,91,25712.70917
10,91,22560.9834
11,91,31673.55634
12,91,19926.06691
1,92,18153.37887
2,92,26738.10953
3,92,39152.17316
4,92,37191.05709
5,92,83192.24201
6,92,49894.17765
7,92,37399.95835
8,92,30154.2758
9,92,26746.43884
10,92,22898.17977
11,92,23393.08011
12,92,18212.88639
1,93,18496.41087
2,93,19799.61828
3,93,43375.45607
4,93,48820.87558
5,93,162041.795
6,93,169331.7143
7,93,77606.85676
8,93,39230.61816
9,93,28802.126
10,93,31209.74982
11,93,25619.40313
12,93,22516.169
1,94,19691.5677
2,94,18803.13739
3,94,25920.49098
4,94,30433.71934
5,94,55073.62973
6,94,41370.54845
7,94,24063.18841
8,94,17472.21616
9,94,18362.61022
10,94,23030.99495
11,94,16756.71579
12,94,10944.62044
1,95,11293.51113
2,95,23290.1237
3,95,23354.41589
4,95,27148.61476
5,95,94258.80672
6,95,204722.847
7,95,158549.3773
8,95,45751.83611
9,95,33848.8133
10,95,34804.75326
11,95,29134.89072
12,95,24568.39424
