"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","411173184.357542","392737430.167598","463128491.620112","527932960.893855","531843575.418994","477653631.284916","455307262.569832","522346368.715084","590502793.296089","641340782.122905","782681564.24581","852513966.480447","850279329.608939","912849162.011173","756983240.223464","693854748.603352","723463687.150838","615083798.882682","649720670.391061","645251396.648045","637988826.815642","613966480.446927","635754189.944134","691061452.513966","716330411.800922","603283334.433788","620125160.307179",
"Africa Eastern and Southern","AFE","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50384904564.5177","41957147163.1436","39668978234.0807","45564874707.7753","51698389542.3282","48751655790.1808","48993418679.3723","49373466237.7284","47361257753.4281","50948228982.6895","45537692124.4319","47694201578.0126","65816334158.4378","87636274584.6189","101875900921.215","119999987885.343","144780364960.798","170970361967.958","170800725662.409","187981920854.05","215058485269.287","222742023058.947","234255588624.093","250827808219.059","234643894707.638","210142947737.529","250644561188.886","220194896634.659","225430417951.169","194572235820.403","216650037883.971",
"Afghanistan","AFG","Gross capital formation (current US$)","NE.GDI.TOTL.CD","86666711.1111111","91111155.5555556","104444506.666667","106666724.444444","111111155.555556","113333340","117777771.111111","86666666.6666667","88888888.8888889","91111111.1111111","95555562.2222222","99999993.3333333","104444451.111111","126666660","188888882.222222","231111111.111111","348888882.222222","366666660","457777788.888889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","166858639306.65","140636846108.022","86394168006.6543","53240185609.4873","44577270071.7747","41993685054.4922","38109056238.7445","33577929230.0441","33451424581.7741","41030056002.8599","36145293574.072","32670745065.0566","24077670266.6986","25690777681.8468","29533689738.9401","33518096353.5879","36343059870.7735","39361721405.2213","38287053843.2071","37940079485.5534","38065549100.3969","42537014676.0016","51943216530.5622","61638789769.6555","74960587460.8428","98674419524.2463","99656296968.0448","118789677397.074","113244281604.67","120350362104.502","127671524290.666","137850896504.69","157678791819.727","176233820462.314","150131044018.744","136057893443.863","126646416144.363","161786693192.431","190695410278.286","194316537699.859","237636188264.99",
"Angola","AGO","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","2783907339.68352","2724893475.80685","4661062894.26651","5424166591.82938","7276093050.87059","10187920710.5167","12205178422.7822","16793436245.618","27273480876.5163","30106128715.8917","23037075147.4519","28917904925.8712","33333994539.9331","34875136358.7192","37742850983.3042","29831173215.7929","13563944772.2727","16643340218.4821","13901148419.7352","12276206493.8953","10491940247.0029","14147466271.6677",
"Albania","ALB","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","611538478.631747","643706276.120605","671875012.5","612875012.5","614499962.5","740750012.5","615888125","83600694.4444444","36891479.0257555","162105372.688304","355435600.956635","509144791.391354","577976514.585321","376257327.880027","502639653.347446","633902317.161477","1071819204.48864","1372290895.16915","1533305461.74018","1902121187.28198","2456928760.52151","2968773399.09863","3175677295.58812","3679616246.7557","4608745258.93204","4162218869.40253","3614891660.01999","4049450819.5584","3490029320.36286","3584048805.13906","3396286215.39628","2939976357.89292","2991848400.02417","3261763643.99664","3623931004.21153","3544361013.30168","3510612139.89876","4403533603.16847",
"Andorra","AND","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","67210383099.4825","80432794475.0082","98492099420.9792","104918756563.418","131228823098.319","136534046488.024","142046851300.708","126117330151.074","124223425323.372","107346215909.84","100279096056.498","94715121543.6309","97181883117.1632","81885283863.4923","196018196105.441","103749034018.278","106090175503.288","110621591714.542","107370894906.694","117457023759.639","119976809001.769","116431450697.327","133327805280.15","145453461728.748","150511273663.951","156433479893.277","153387854302.695","176892281520.696","209878037459.252","258701806810.142","323412813355.594","424992603402.597","557091393696.293","513738590954.626","561448816657.785","610534218674.549","652941782404.171","691540186032.14","742069556897.294","725759995707.406","722204994064.796","735500163224.126","743847383081.866","760688515869.663","628106131467.558","631505707045.12",
"United Arab Emirates","ARE","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23247802287.2703","24758811082.369","27517552893.1246","29533120000","36424851681.4159","42802745377.808","64992757985.0238","79178107855.6841","80206027365.5548","78593555316.5419","81219427147.7195","81978431095.9837","75126823335.6024","89369188618.1076","91822890156.5691","92902151858.4071","97541306140.2315","99269102573.179","93724842260.0408","79632485146.3581","",
"Argentina","ARG","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","5313345058.38326","3338843016.44164","5498448879.20396","6357058745.58187","5881428621.0885","5146060702.23671","5734285805.39451","7498571825.73388","7719211096.5115","8027999890.81471","8298250320.65817","10978444355.8423","16124666971.2541","15438486959.3817","15724100557.7079","17569000350.9751","16147130587.0569","17906415044.1579","19438878223.106","17852632104.7179","18341049876.2973","21718898273.9138","15790000398.889","15551667059.5348","19371110817.4477","21726666839.1419","23524999816.2601","11889983497.8928","19785065005.7631","27769271211.3267","38213203210.1757","46609970270.2703","51399500500","47736933000","53406319800","60990966300","62691747400","50645509000","49830828800","41986461000","10606870818.4831","18049680786.0707","28899558549.9966","37537987445.4148","43442829424.3763","57791082382.3567","70766944271.4722","53453089198.9967","75005496430.9387","97541873555.3879","90097938093.7597","95532250251.422","90857938989.9083","101527895313.53","98478037375.8317","117221303024.265","87192948627.8697","63626066083.8791","54479129469.8551","85139213746.1878",
