Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.235,6.099,5.958,5.83,5.696,5.56,5.405,5.262,5.129,5.002
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,66.8,64.2,61.8,59.4,57.2,55,53,51.1,49.4,47.8
Afghanistan,AFG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.792885738,2.837066692,2.863611211,2.81498738,2.793478805,2.982273467,2.594447304,2.594447304,2.594447304,2.594447304
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1570,1770,1750,1960,2070,2120,2140,2050,2120,2140
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1575.316779,1771.197985,1749.936995,1958.447627,2062.059176,2110.829568,2128.125938,2023.834656,2096.093111,2110.239384
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.647,1.656,1.671,1.692,1.697,1.674,1.613,1.551,1.491,1.44
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.9,11.9,10.9,10,9.3,8.8,8.5,8.4,8.3,8.3
Albania,ALB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.090476565,3.112992252,3.13550794,3.158023628,3.180539316,3.152284423,3.124029531,3.572741095,3.303908552,2.965567056
Albania,ALB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8670,9530,10210,10450,10750,11360,11800,12270,12800,13480
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8813.471735,9628.607139,10207.72477,10526.16109,10570.89688,11259.30368,11658.91452,12078.70037,12771.05414,13498.24952
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.813,2.843,2.88,2.956,2.957,3.004,3.041,3.051,3.05,3.023
Algeria,DZA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,24.7,23.9,23.3,22.8,22.4,22,21.7,21.4,21,20.6
Algeria,DZA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956
Algeria,DZA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,12640,13100,13410,13180,12850,12760,11760,11570,11630,11710
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12768.99372,13141.12026,13543.59872,13347.3628,13104.7371,13058.12457,12071.81418,11685.45142,11809.48303,12007.77471
